City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
254,Tchamba,TG,9.0333,1.4167,72.01,97,100,3.13,overcast clouds
255,Chuy,UY,-33.6971,-53.4616,59.83,91,86,12.8,overcast clouds
256,Ostersund,SE,63.1792,14.6357,39.65,100,100,5.01,mist
257,Saint George,US,37.1041,-113.5841,57.94,42,0,4.61,clear sky
258,Jutai,BR,-5.1833,-68.9,73.62,93,99,2.46,moderate rain
259,Klaksvik,FO,62.2266,-6.589,43.72,94,60,8.97,broken clouds
260,Vaitape,PF,-16.5167,-151.75,79.5,77,97,22.44,light rain
261,Chala,TZ,-7.5833,31.2667,66.33,50,100,4.68,overcast clouds
262,Srednekolymsk,RU,67.45,153.6833,15.58,94,100,10.63,light snow
263,Gat,IL,31.61,34.7642,72.28,100,6,5.7,clear sky
264,Karlshamn,SE,56.1706,14.8619,50.49,82,90,11.32,overcast clouds
265,Shiraz,IR,29.6036,52.5388,60.24,27,0,0.0,clear sky
266,Matara,LK,5.9485,80.5353,82.36,73,100,3.87,light rain
267,Ayan,RU,56.45,138.1667,36.7,46,100,3.42,overcast clouds
268,Panguna,PG,-6.3164,155.4848,75.88,85,58,1.39,light rain
269,Lokosovo,RU,61.1333,74.8167,27.57,90,96,9.46,overcast clouds
270,Atikokan,CA,48.7555,-91.6216,34.11,75,100,6.87,overcast clouds
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,52,75,11.18,broken clouds
272,Sao Filipe,CV,14.8961,-24.4956,78.13,78,100,6.24,overcast clouds
273,Isangel,VU,-19.55,169.2667,78.91,78,75,6.91,broken clouds
274,Port Hardy,CA,50.6996,-127.4199,37.58,100,20,6.91,few clouds
275,Kaitangata,NZ,-46.2817,169.8464,50.4,89,100,6.49,overcast clouds
276,Beloha,MG,-25.1667,45.05,75.42,66,99,3.91,overcast clouds
277,Enshi,CN,30.3,109.4833,58.1,98,100,0.25,overcast clouds
278,Khatanga,RU,71.9667,102.5,1.2,98,96,1.45,overcast clouds
279,Hami,CN,42.8,93.45,57.63,23,83,2.21,broken clouds
280,Pisco,PE,-13.7,-76.2167,59.05,88,0,12.66,clear sky
281,Uyuni,BO,-20.4597,-66.825,41.74,15,0,4.94,clear sky
282,Umea,SE,63.8284,20.2597,37.9,100,100,0.0,overcast clouds
283,Namibe,AO,-15.1961,12.1522,67.24,87,26,8.68,scattered clouds
284,Bella Union,UY,-30.2752,-57.6007,63.27,77,40,8.68,scattered clouds
285,Ixtapa,MX,20.7,-105.2,81.63,78,75,0.0,broken clouds
286,Codrington,AU,-38.2667,141.9667,61.34,90,100,11.56,overcast clouds
287,Benicarlo,ES,40.4165,0.4271,70.25,63,100,2.39,overcast clouds
288,Broome,US,42.2506,-75.833,65.86,92,20,9.22,few clouds
289,Bolitoc,PH,15.7395,119.8769,86.27,62,100,4.74,overcast clouds
