City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
517,Gucheng,CN,63.19,overcast clouds,35.9115,111.3192,古城宾馆
519,Ribeira Brava,PT,72.01,light rain,32.65,-17.0667,Hotel do Campo
520,Aswan,EG,68.83,clear sky,24.0934,32.907,Nuba Nile
521,Waingapu,ID,84.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
522,Hetauda,NP,65.55,clear sky,27.4284,85.0322,Regal Hetauda Resort
523,Kindu,CD,69.08,overcast clouds,-2.95,25.95,Résidence Okanda
525,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
526,Mildura,AU,66.07,drizzle,-34.2,142.15,Mercure Hotel Mildura
527,Hwange,ZW,74.8,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
528,Pasni,PK,78.1,clear sky,25.2631,63.471,Kashmiri Hotal
529,Champerico,GT,81.14,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
530,Sao Joao Da Barra,BR,75.29,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
534,Sao Felix Do Xingu,BR,74.3,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
535,Parker,US,64.69,light rain,32.7668,-97.8003,Woodland Suites
536,Agudos,BR,77.25,clear sky,-22.4692,-48.9875,ARCA HOTEL
537,Goderich,CA,64.72,overcast clouds,43.7501,-81.7165,Harmony Inn
539,Kohlu,PK,61.34,clear sky,29.8962,69.252,B &R Rest House
540,Cururupu,BR,75.92,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
541,Namibe,AO,69.1,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
545,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
546,Okitipupa,NG,74.86,light rain,6.5047,4.7839,Coastal Hotel & Suites
547,Alpena,US,66.45,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
